group_cn,group_lat,family_cn,family_lat,genus_cn,genus_lat,species_cn,species_lat,author,is_exotic,notes
裸子植物,Gymnosperm,蘇鐵科,Cycadaceae,蘇鐵屬,Cycas,蘇鐵 / 台東蘇鐵,Cycas revoluta,Thunb.,False,台東蘇鐵
裸子植物,Gymnosperm,松科,Pinaceae,冷杉屬,Abies,臺灣冷杉,Abies kawakamii,(Hayata) Ito,False,
裸子植物,Gymnosperm,松科,Pinaceae,油杉屬,Keteleeria,臺灣油杉,Keteleeria davidiana var. formosana,Hayata,False,
裸子植物,Gymnosperm,松科,Pinaceae,雲杉屬,Picea,臺灣雲杉,Picea morrisonicola,Hayata,False,
裸子植物,Gymnosperm,松科,Pinaceae,松屬,Pinus,臺灣華山松,Pinus armandii var. mastersiana,(Hayata) Hayata,False,
裸子植物,Gymnosperm,松科,Pinaceae,松屬,Pinus,天龍二葉松,Pinus fragilissima,Businský,False,
裸子植物,Gymnosperm,松科,Pinaceae,松屬,Pinus,馬尾松,Pinus massoniana,D. Don,False,
裸子植物,Gymnosperm,松科,Pinaceae,松屬,Pinus,臺灣五葉松,Pinus morrisonicola,Hayata,False,
裸子植物,Gymnosperm,松科,Pinaceae,松屬,Pinus,臺灣二葉松,Pinus taiwanensis,Hayata,False,
裸子植物,Gymnosperm,松科,Pinaceae,松屬,Pinus,早田氏松,Pinus × hayatana,Businský,False,
裸子植物,Gymnosperm,松科,Pinaceae,黃杉屬,Pseudotsuga,臺灣黃杉 / 威氏帝杉,Pseudotsuga wilsoniana,Hayata,False,威氏帝杉
裸子植物,Gymnosperm,松科,Pinaceae,鐵杉屬,Tsuga,鐵杉 / 臺灣鐵杉,Tsuga chinensis,(Franch.) Pritz.,False,臺灣鐵杉
裸子植物,Gymnosperm,羅漢松科,Podocarpaceae,竹柏屬,Nageia,長葉竹柏,Nageia fleuryi,(Hickel) de Laub.,False,
裸子植物,Gymnosperm,羅漢松科,Podocarpaceae,竹柏屬,Nageia,竹柏,Nageia nagi,(Thunb.) Kuntze,False,
裸子植物,Gymnosperm,羅漢松科,Podocarpaceae,羅漢松屬,Podocarpus,蘭嶼羅漢松,Podocarpus costalis,C.Presl,False,
裸子植物,Gymnosperm,羅漢松科,Podocarpaceae,羅漢松屬,Podocarpus,叢花百日青,Podocarpus fasciculus,de Laub.,False,
裸子植物,Gymnosperm,羅漢松科,Podocarpaceae,羅漢松屬,Podocarpus,大葉羅漢松,Podocarpus macrophyllus,(Thunb.) Sweet,False,
裸子植物,Gymnosperm,羅漢松科,Podocarpaceae,羅漢松屬,Podocarpus,小葉羅漢松,Podocarpus macrophyllus var. maki,Siebold & Zucc.,False,
裸子植物,Gymnosperm,羅漢松科,Podocarpaceae,羅漢松屬,Podocarpus,桃實百日青,Podocarpus nakaii,Hayata,False,
裸子植物,Gymnosperm,柏科,Cupressaceae,肖楠屬,Calocedrus,臺灣肖楠,Calocedrus macrolepis var. formosana,(Florin) W.C.Cheng & L.K.Fu,False,
裸子植物,Gymnosperm,柏科,Cupressaceae,杉木屬,Cunninghamia,巒大杉 / 香杉,Cunninghamia konishii,Hayata,False,香杉
裸子植物,Gymnosperm,柏科,Cupressaceae,刺柏屬,Juniperus,刺柏,Juniperus formosana,Hayata,False,
裸子植物,Gymnosperm,柏科,Cupressaceae,刺柏屬,Juniperus,綠背刺柏,Juniperus formosana var. concolor,Hayata,False,
裸子植物,Gymnosperm,柏科,Cupressaceae,刺柏屬,Juniperus,香青 / 玉山圓柏,Juniperus squamata,Buch.-Ham. ex D.Don,False,玉山圓柏
裸子植物,Gymnosperm,柏科,Cupressaceae,刺柏屬,Juniperus,清水圓柏,Juniperus tsukusiensis var. taiwanensis,(R.P.Adams & C.F.Hsieh) R.P.Adams,False,
裸子植物,Gymnosperm,柏科,Cupressaceae,扁柏屬,Chamaecyparis,紅檜,Chamaecyparis formosensis,Matsum.,False,
裸子植物,Gymnosperm,柏科,Cupressaceae,扁柏屬,Chamaecyparis,臺灣扁柏,Chamaecyparis obtusa var. formosana,(Hayata) Hayata,False,
